
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-09-03 17:25:24 /api/orders/catalog ................................................................ ~ 510.06ms
  2026-09-03 17:25:24 /api/orders/catalog ................................................................ ~ 513.70ms
  2026-09-03 17:25:26 /api/orders/catalog ................................................................ ~ 511.58ms
  2026-09-03 17:25:27 /api/orders/catalog .................................................................. ~ 0.38ms
  2026-09-03 17:25:28 /api/orders/catalog .................................................................. ~ 1.15ms
  2026-09-03 17:25:29 /api/orders/catalog ................................................................ ~ 505.71ms
  2026-09-03 17:25:40 /api/user ............................................................................ ~ 0.68ms
  2026-09-03 17:25:40 /api/user .......................................................................... ~ 510.11ms
  2026-09-03 17:25:43 /api/orders ........................................................................ ~ 510.07ms
  2026-09-03 17:25:43 /api/orders ........................................................................ ~ 509.73ms
  2026-09-03 17:25:46 /api/orders/catalog ................................................................ ~ 514.32ms
  2026-09-03 17:25:46 /api/orders/catalog .................................................................. ~ 0.57ms
  2026-09-03 17:38:51 /api/orders/catalog ................................................................ ~ 511.05ms
  2026-09-03 17:38:51 /api/orders/catalog .................................................................. ~ 0.42ms
  2026-09-03 17:43:46 /up ................................................................................ ~ 512.51ms
  2026-09-03 17:44:18 /api/register ...................................................................... ~ 510.08ms
  2026-09-03 17:44:19 /api/orders/catalog ................................................................ ~ 510.82ms
  2026-09-03 17:45:00 /api/orders/catalog ................................................................ ~ 512.87ms
  2026-09-03 17:45:01 /api/orders/catalog .................................................................. ~ 0.41ms
  2026-09-03 17:45:17 /api/orders .......................................................................... ~ 0.56ms
  2026-09-03 17:45:17 /api/orders ........................................................................ ~ 508.79ms
  2026-09-03 17:45:19 /api/orders/catalog ................................................................ ~ 515.69ms
  2026-09-03 17:45:19 /api/orders/catalog ................................................................ ~ 507.48ms
  2026-09-03 17:45:33 /api/orders/catalog ................................................................ ~ 514.56ms
  2026-09-03 17:45:33 /api/orders/catalog .................................................................. ~ 0.47ms
  2026-09-03 17:45:45 /api/user .......................................................................... ~ 510.60ms
  2026-09-03 17:45:45 /api/user ............................................................................ ~ 0.54ms
  2026-09-03 17:45:49 /api/orders .......................................................................... ~ 0.66ms
  2026-09-03 17:45:50 /api/orders ........................................................................ ~ 508.61ms
  2026-09-03 17:45:52 /api/orders/catalog ................................................................ ~ 514.42ms
  2026-09-03 17:45:52 /api/orders/catalog ................................................................ ~ 510.47ms
  2026-09-03 17:58:43 /api/register ............................................................................ ~ 1s
  2026-09-03 17:58:44 /api/orders/catalog ................................................................ ~ 508.95ms
  2026-09-03 17:58:44 /api/orders ........................................................................ ~ 509.70ms
