
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-08-31 14:53:57 /up ................................................................................ ~ 510.42ms
  2026-08-31 14:54:08 /api/user ............................................................................ ~ 1.09ms
  2026-08-31 14:54:08 /api/login ......................................................................... ~ 507.08ms
  2026-08-31 14:54:08 /api/logout .............................................................................. ~ 1s
  2026-08-31 14:54:09 /api/user .......................................................................... ~ 510.46ms
  2026-08-31 14:55:02 /api/login ......................................................................... ~ 511.53ms
  2026-08-31 14:55:03 /api/user ............................................................................ ~ 0.62ms
  2026-08-31 14:55:03 /api/logout ........................................................................ ~ 504.78ms
  2026-08-31 14:55:04 /api/user .......................................................................... ~ 504.71ms
  2026-08-31 14:55:04 /api/logout .......................................................................... ~ 0.32ms
  2026-08-31 14:56:42 /api/register ...................................................................... ~ 512.80ms
  2026-08-31 14:56:58 /api/register ...................................................................... ~ 507.12ms
  2026-08-31 14:56:59 /api/user .......................................................................... ~ 507.25ms
  2026-08-31 14:57:06 /api/login ......................................................................... ~ 506.63ms
  2026-08-31 14:57:06 /api/logout ........................................................................ ~ 507.13ms
  2026-08-31 14:57:07 /api/user .......................................................................... ~ 504.79ms
  2026-08-31 14:57:07 /api/user ............................................................................ ~ 0.24ms
  2026-08-31 14:57:43 /api/login ........................................................................... ~ 0.62ms
  2026-08-31 14:57:43 /api/user .......................................................................... ~ 507.10ms
  2026-08-31 14:57:43 /up ................................................................................ ~ 509.00ms
  2026-08-31 14:59:56 / .................................................................................. ~ 508.15ms
  2026-08-31 14:59:56 /login ................................................................................... ~ 1s
  2026-08-31 14:59:56 /vendor/icheck-bootstrap/icheck-bootstrap.min.css ........................................ ~ 1s
  2026-08-31 14:59:57 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 0.29ms
  2026-08-31 14:59:57 /vendor/overlayScrollbars/css/OverlayScrollbars.min.css .............................. ~ 1.60ms
  2026-08-31 14:59:57 /vendor/jquery/jquery.min.js ......................................................... ~ 2.42ms
  2026-08-31 14:59:57 /vendor/adminlte/dist/img/AdminLTELogo.png ........................................... ~ 3.66ms
  2026-08-31 14:59:57 /vendor/adminlte/dist/css/adminlte.min.css ........................................... ~ 5.12ms
  2026-08-31 14:59:58 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.26ms
  2026-08-31 14:59:58 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 0.29ms
  2026-08-31 14:59:58 /vendor/overlayScrollbars/js/jquery.overlayScrollbars.min.js ....................... ~ 511.99ms
  2026-08-31 14:59:58 /vendor/adminlte/dist/js/adminlte.min.js ............................................. ~ 0.25ms
  2026-08-31 14:59:58 /favicon.ico ....................................................................... ~ 506.69ms
  2026-08-31 14:59:58 /login ................................................................................... ~ 4s
  2026-08-31 15:00:03 /home .................................................................................... ~ 1s
  2026-08-31 15:00:05 /vendor/fontawesome-free/css/all.min.css ............................................. ~ 1.00ms
  2026-08-31 15:00:05 /vendor/overlayScrollbars/css/OverlayScrollbars.min.css .............................. ~ 2.19ms
  2026-08-31 15:00:05 /vendor/jquery/jquery.min.js ......................................................... ~ 3.11ms
  2026-08-31 15:00:05 /vendor/bootstrap/js/bootstrap.bundle.min.js ......................................... ~ 4.47ms
  2026-08-31 15:00:05 /vendor/adminlte/dist/img/AdminLTELogo.png ........................................... ~ 5.68ms
  2026-08-31 15:00:05 /vendor/adminlte/dist/css/adminlte.min.css ........................................... ~ 7.01ms
  2026-08-31 15:00:05 /vendor/fontawesome-free/webfonts/fa-solid-900.woff2 ................................. ~ 0.59ms
  2026-08-31 15:00:05 /vendor/overlayScrollbars/js/jquery.overlayScrollbars.min.js ......................... ~ 2.25ms
  2026-08-31 15:00:06 /vendor/adminlte/dist/js/adminlte.min.js ............................................. ~ 0.22ms
